Date,Low,Open,Volume,High,Close,Adjusted Close,Name
1987-03-23,22.5,24.5,6200.0,24.5,24.0,13.488649368286133,ALCO
1987-03-24,22.5,24.0,2100.0,24.5,22.5,12.645605087280272,ALCO
1987-03-25,22.5,22.5,400.0,25.0,22.5,12.645605087280272,ALCO
1987-03-26,22.5,22.5,800.0,25.0,23.5,13.207629203796388,ALCO
1987-03-27,25.0,25.0,1000.0,25.0,25.0,14.05066967010498,ALCO
1987-03-30,23.0,25.0,1700.0,25.0,24.5,13.769659996032717,ALCO
1987-03-31,25.0,25.0,300.0,25.0,25.0,14.05066967010498,ALCO
1987-04-01,23.0,25.0,600.0,25.0,25.0,14.05066967010498,ALCO



