type,value,timestamp
GOOG,26.86050033569336,2015-06-19 16:00:00
MSFT,46.33000183105469,2015-06-22 16:00:01
GOOG,26.97949981689453,2015-06-22 16:00:00
GOOG,26.98200035095215,2015-06-23 16:00:00
MSFT,46.130001068115234,2015-06-23 16:00:01
GOOG,27.0,2015-06-24 16:00:00
MSFT,45.66999816894531,2015-06-24 16:00:01
GOOG,26.943500518798828,2015-06-25 16:00:00
MSFT,46.029998779296875,2015-06-25 16:00:01
GOOG,26.863000869750977,2015-06-26 16:00:00
MSFT,45.650001525878906,2015-06-26 16:00:01
MSFT,45.040000915527344,2015-06-29 16:00:01
GOOG,26.250499725341797,2015-06-29 16:00:00
MSFT,44.709999084472656,2015-06-30 16:00:01
GOOG,26.301000595092773,2015-06-30 16:00:00
GOOG,26.236499786376953,2015-07-01 16:00:00
MSFT,44.459999084472656,2015-07-01 16:00:01
MSFT,44.47999954223633,2015-07-02 16:00:01
GOOG,26.054000854492188,2015-07-02 16:00:00
GOOG,25.975000381469727,2015-07-06 16:00:00
MSFT,43.959999084472656,2015-07-06 16:00:01
GOOG,26.1564998626709,2015-07-07 16:00:00
MSFT,44.34000015258789,2015-07-07 16:00:01
GOOG,26.052499771118164,2015-07-08 16:00:00
MSFT,44.439998626708984,2015-07-08 16:00:01
MSFT,44.75,2015-07-09 16:00:01
GOOG,26.1560001373291,2015-07-09 16:00:00
MSFT,45.0099983215332,2015-07-10 16:00:01
GOOG,26.31450080871582,2015-07-10 16:00:00
MSFT,44.97999954223633,2015-07-13 16:00:01
GOOG,26.643999099731445,2015-07-13 16:00:00
GOOG,27.33799934387207,2015-07-14 16:00:00
MSFT,45.45000076293945,2015-07-14 16:00:01
GOOG,28.006500244140625,2015-07-15 16:00:00
MSFT,45.68000030517578,2015-07-15 16:00:01
MSFT,46.0099983215332,2015-07-16 16:00:01
GOOG,28.256000518798828,2015-07-16 16:00:00
MSFT,46.54999923706055,2015-07-17 16:00:01
GOOG,32.45000076293945,2015-07-17 16:00:00
MSFT,46.650001525878906,2015-07-20 16:00:01
GOOG,32.96200180053711,2015-07-20 16:00:00
MSFT,46.779998779296875,2015-07-21 16:00:01
GOOG,32.760501861572266,2015-07-21 16:00:00
GOOG,33.044498443603516,2015-07-22 16:00:00
MSFT,45.439998626708984,2015-07-22 16:00:01
MSFT,45.27000045776367,2015-07-23 16:00:01
GOOG,33.063499450683594,2015-07-23 16:00:00
GOOG,32.349998474121094,2015-07-24 16:00:00
